name,country,region,latitude,longitude,timezone,saved,id
name,country,region,latitude,longitude,timezone,saved,id
name,country,region,latitude,longitude,timezone,saved,id
name,country,region,latitude,longitude,timezone,saved,id
name,country,region,latitude,longitude,timezone,saved,id
name,country,region,latitude,longitude,timezone,saved,id
,Greece,Attica,37.9946543,23.79940251269328,Europe/Athens,false
Porto Azzurro,Italy,Tuscany,42.7662978,10.3957529,Europe/Rome,true,69
Genoa,Italy,Liguria,44.40726,8.9338624,Europe/Rome,true,70
Huahine,France,French Polynesia,-16.72858845,-151.01346965159058,Pacific/Tahiti,true,71
Terre-de-Haut,France,Guadeloupe,15.8680707,-61.5821543,America/Guadeloupe,true,72
St. Anargyros,Greece,Attica,38.050819700000005,23.803608168762548,Europe/Athens,true,73
Rapallo,Italy,Liguria,44.3511473,9.229671,Europe/Rome,true,74
Pazzano,Italy,Calabria,38.4757633,16.4525008,Europe/Rome,true,75
Ridgeland,United States,Mississippi,32.4284761,-90.1323087,America/Chicago,true,76
Santa Margherita Ligure,Italy,Liguria,44.3339761,9.2111267,Europe/Rome,true,77
Ustica,Italy,Sicily,38.7104559,13.1912999,Europe/Rome,true,78
Nardò,Italy,Apulia,40.1762608,18.0306371,Europe/Rome,true,79
Palermo,Italy,Sicily,38.1112268,13.3524434,Europe/Rome,true,80
Portoferraio,Italy,Tuscany,42.8136276,10.319152,Europe/Rome,true,81
Como,Italy,Lombardy,45.939475900000005,9.149410145408947,Europe/Rome,true,82
,United States,South Carolina,33.6874388,-80.4363743,America/New_York,false
Trapani,Italy,Sicily,38.0174321,12.515992,Europe/Rome,true,83
Albenga,Italy,Liguria,44.0492503,8.2131239,Europe/Rome,true,84
Saint-Benoît,France,Nouvelle-Aquitaine,46.5507911,0.3403768,Europe/Paris,true,85
Lipari,Italy,Sicily,38.4681846,14.9547202,Europe/Rome,true,86
Ponza,Italy,Lazio,40.8932368,12.9630622,Europe/Rome,true,87
Karystos,Greece,Thessaly and Central Greece,38.0155328,24.4198624,Europe/Athens,true,88
Ventotene,Italy,Lazio,40.796002,13.431213,Europe/Rome,true,89
Ljubljana,Slovenia,Upravna Enota Ljubljana,46.0500268,14.5069289,Europe/Ljubljana,true,90
Tel Aviv-Yafo,Israel,Tel Aviv District,32.0852997,34.7818064,Asia/Jerusalem,true,91
Varna,Bulgaria,Varna,43.2073873,27.9166653,Europe/Sofia,true,92
Lefkoşa,,,35.21165235,33.3311877599984,Asia/Nicosia,false
Dubrovnik,Croatia,Dubrovnik-Neretva County,42.64873625,18.094680152605108,Europe/Zagreb,true,93
Tamarin,Mauritius,Black River,-20.3292161,57.3776792,Indian/Mauritius,true,94
Sharjah,United Arab Emirates,Sharjah Emirate,25.3461498,55.4210633,Asia/Dubai,true,95
Capraia Isola,Italy,Tuscany,43.0481801,9.8434014,Europe/Rome,true,96
Brovary,Ukraine,Kyiv Oblast,50.5111168,30.7900482,Europe/Kyiv,true,97
Nova Gorica,Slovenia,5000,45.9580549,13.6474706,Europe/Ljubljana,true,98
Kranj,Slovenia,4000,46.2432913,14.3549353,Europe/Ljubljana,true,99
San Nicola,Italy,Apulia,42.120845,15.5043104,Europe/Rome,true,100
Stavros,Greece,Region of Crete,35.063336,25.7509481,Europe/Athens,true,101
Maribor,Slovenia,2000,46.5576439,15.6455854,Europe/Ljubljana,true,102
Fujairah,United Arab Emirates,Fujairah Emirate,25.1244604,56.3355085,Asia/Dubai,true,103
Desa Bontolebang,Indonesia,South Sulawesi,-6.1130105,120.4275775,Asia/Makassar,true,104
L'Étang-Salé,France,Réunion,-21.2657819,55.3668941,Indian/Reunion,true,105
Křečovice,Czechia,Central Bohemia,49.7213131,14.4755313,Europe/Prague,true,106
Vught,Netherlands,North Brabant,51.6511806,5.23680014410728,Europe/Amsterdam,true,107
Dramalj,Croatia,Primorje-Gorski Kotar County,45.190455,14.6731968,Europe/Zagreb,true,108
,Thailand,Krabi Province,8.1111653,99.1097298,Asia/Bangkok,false
,South Africa,Gauteng,-25.9363439,28.0813105,Africa/Johannesburg,false
Doha,,,25.2856329,51.5264162,Asia/Qatar,false
Tabarja,Lebanon,Keserwan-Jbeil Governorate,34.0299714,35.635528961630186,Asia/Beirut,true,109
Almaty,Kazakhstan,050013,43.2363924,76.9457275,Asia/Almaty,true,110
Barka,Oman,Al Batinah South Governorate,23.6676462,57.8836158,Asia/Muscat,true,111
Saint Paul's Bay,Malta,Northern Region,35.9480742,14.3973929,Europe/Malta,true,112
Victoria,Malta,Gozo Region,36.0428907,14.2398479,Europe/Malta,true,113
Mount Pleasant,United States,South Carolina,32.7940651,-79.8625851,America/New_York,true,114
Eilat,Israel,South District,29.5569348,34.9497949,Asia/Jerusalem,true,115
Veyrier-du-Lac,France,Auvergne-Rhône-Alpes,45.8872046,6.1753598,Europe/Paris,true,116
Town of Rab,Croatia,Primorje-Gorski Kotar County,44.7562894,14.7607367,Europe/Zagreb,true,117
Grad Rovinj,Croatia,Istria County,45.0807411,13.6417282,Europe/Zagreb,true,118
Vela Luka,Croatia,Dubrovnik-Neretva County,42.9609767,16.7180177,Europe/Zagreb,true,119
Mussaitbeh,Lebanon,Beirut Governorate,33.88531465,35.496317418451824,Asia/Beirut,true,120
Sayh Al Diyar,Oman,Musandam Governorate,25.6077354,56.2608449,Asia/Muscat,true,121
Haret Sakhr,Lebanon,Keserwan-Jbeil Governorate,33.990693699999994,35.6431084543194,Asia/Beirut,true,122
Tripoli,Libya,Tripoli,32.896672,13.1777923,Africa/Tripoli,true,123
Msida,Malta,Central Region,35.8956943,14.4891829,Europe/Malta,true,124
Deira,United Arab Emirates,Dubai,25.2727936,55.305334,Asia/Dubai,true,125
,Thailand,Chon Buri Province,13.1857117,101.1210777,Asia/Bangkok,false
Gamsha,Egypt,Red Sea,27.375534899999998,33.65334115703007,Africa/Cairo,true,126
Palaio Faliro,Greece,Attica,37.9282756,23.6951675,Europe/Athens,true,127
Campinas,Brazil,São Paulo,-22.9056391,-47.059564,America/Sao_Paulo,true,128
Bitola,North Macedonia,Pelagonia Region,41.0316005,21.3302511,Europe/Skopje,true,129
Kallithea,Greece,Attica,37.9560111,23.7033792,Europe/Athens,true,130
Thessaloniki,Greece,Macedonia and Thrace,40.6403167,22.9352716,Europe/Athens,true,131
Mellieha,Malta,Northern Region,35.9599618,14.368367,Europe/Malta,true,132
,Thailand,Phuket Province,7.9366015,98.3529292,Asia/Bangkok,false
Gżira,Malta,Central Region,35.9077803,14.4961247,Europe/Malta,true,133
Νέο Ρύσιο,Greece,Macedonia and Thrace,40.4957584,22.9885808,Europe/Athens,true,134
Paphos Municipality,Cyprus,Cyprus,34.7743988,32.4231586,Asia/Nicosia,true,135
Baan Klong Prao,Thailand,Trat Province,12.0524613,102.2956161,Asia/Bangkok,true,136
Bangkok,Thailand,Bangkok,13.7524938,100.4935089,Asia/Bangkok,true,137
Curitiba,Brazil,Paraná,-25.4295963,-49.2712724,America/Sao_Paulo,true,138
Sliema,Malta,Central Region,35.9127609,14.5020708,Europe/Malta,true,139
Mombasa,Kenya,Mombasa County,-4.05052,39.667169,Africa/Nairobi,true,140
Kendal,United Kingdom,England,54.3289795,-2.747183,Europe/London,true,141
Belo Horizonte,Brazil,Minas Gerais,-19.9227318,-43.9450948,America/Sao_Paulo,true,142
Baan Chaloklum,Thailand,Surat Thani Province,9.7852863,100.0069751,Asia/Bangkok,true,143
Ko Samui,Thailand,Surat Thani Province,9.5071545,99.9957562,Asia/Bangkok,true,144
Pallini Municipal Unit,Greece,Macedonia and Thrace,39.96941725,23.59897092842187,Europe/Athens,true,145
,Egypt,South Sinai,28.64495635,33.87113129565117,Africa/Cairo,false
Sihanoukville,Cambodia,Khaet Preah Sihanouk,10.6220485,103.5223365,Asia/Phnom_Penh,true,146
Si Sunthon,Thailand,Phuket Province,7.9922368,98.3537721,Asia/Bangkok,true,147
Xlendi,Malta,Gozo Region,36.0311977,14.2182656,Europe/Malta,true,148
Umag,Croatia,Istria County,45.4323587,13.5224098,Europe/Zagreb,true,149
Nahariya,Israel,North District,33.006306,35.0945579,Asia/Jerusalem,true,150
Crikvenica,Croatia,Primorje-Gorski Kotar County,45.1737049,14.6927906,Europe/Zagreb,true,151
Taba,Egypt,South Sinai,29.492821,34.892366,Africa/Cairo,true,152
Haad Sai Khao,Thailand,Trat Province,12.1052401,102.2728264,Asia/Bangkok,true,153
Cadaqués,Spain,Catalonia,42.2893484,3.2752159,Europe/Madrid,true,154
Taipei,Taiwan,110,25.0568379,121.5114865,Asia/Taipei,true,155
Hacienda Ciruelas,Costa Rica,Cantón Bagaces,10.5061425,-85.34586937147208,America/Costa_Rica,true,156
Nadi,Fiji,Western,-17.7992725,177.4178549,Pacific/Fiji,true,157
George Town,Cayman Islands,KY1-9000,19.2953549,-81.3807776,America/Cayman,true,158
Wedemark,Germany,Lower Saxony,52.5401523,9.753796,Europe/Berlin,true,159
Sandino,Cuba,Pinar del Rio,22.0798073,-84.2035316,America/Havana,true,160
Kolonia,,,6.9643412,158.2091324,Pacific/Pohnpei,false
Mechelen,Belgium,Antwerp,51.0281381,4.4803453,Europe/Brussels,true,161
The Hague,Netherlands,South Holland,52.0799838,4.3113461,Europe/Amsterdam,true,162
Arnhem,Netherlands,Gelderland,51.984257,5.9108573,Europe/Amsterdam,true,163
Oosterhout,Netherlands,North Brabant,51.632237599999996,4.863042417836681,Europe/Amsterdam,true,164
Batumi,Georgia,Autonomous Republic of Adjara,41.6509502,41.6360085,Asia/Tbilisi,true,165
Oud-Vossemeer,Netherlands,Zeeland,51.5701636,4.1988617,Europe/Amsterdam,true,166
Beverwijk,Netherlands,North Holland,52.4787896,4.672839631308436,Europe/Amsterdam,true,167
,Cuba,Pinar del Rio,22.312446950000002,-83.93893860318403,America/Havana,false
Celrà,Spain,Catalonia,42.0247111,2.8789816,Europe/Madrid,true,168
Valkenburg,Netherlands,South Holland,52.1809225,4.4285918,Europe/Amsterdam,true,169
Almere,Netherlands,Flevoland,52.44175125,5.2092943104327585,Europe/Amsterdam,true,170
Enschede,Netherlands,Overijssel,52.22336325,6.870595664097989,Europe/Amsterdam,true,171
Neveklov,Czechia,Central Bohemia,49.7535324,14.5334154,Europe/Prague,true,172
Basècles,Belgium,Hainaut,50.5254379,3.6483501,Europe/Brussels,true,173
Wolfeboro,United States,New Hampshire,43.58437,-71.207886,America/New_York,true,174
Wavre,Belgium,Walloon Brabant,50.7169694,4.610416,Europe/Brussels,true,175
Agüimes,Spain,Canary Islands,27.9049541,-15.4445131,Atlantic/Canary,true,176
Santa Ponsa,Spain,Balearic Islands,39.5148159,2.4819598,Europe/Madrid,true,177
Reeuwijk,Netherlands,South Holland,52.0449873,4.7224789,Europe/Amsterdam,true,178
Vosselaar,Belgium,Antwerp,51.3129153,4.8878026,Europe/Brussels,true,179
Namur,Belgium,Namur,50.4665284,4.8661892,Europe/Brussels,true,180
Liège,Belgium,Liège,50.6450944,5.5736112,Europe/Brussels,true,181
Braine-l'Alleud,Belgium,Walloon Brabant,50.6828722,4.3692706,Europe/Brussels,true,182
Strömma,Sweden,Stockholm County,59.2877529,18.5460128,Europe/Stockholm,true,183
Berlare,Belgium,East Flanders,51.0301606,4.011347029715423,Europe/Brussels,true,184
Nha Trang City,Vietnam,Khánh Hòa Province,12.2431693,109.1898675,Asia/Ho_Chi_Minh,true,185
Eindhoven,Netherlands,North Brabant,51.4392648,5.478633,Europe/Amsterdam,true,186
's-Hertogenbosch,Netherlands,North Brabant,51.6889387,5.303116,Europe/Amsterdam,true,187
Teguise,Spain,Canary Islands,29.0592518,-13.5602184,Atlantic/Canary,true,188
Forest - Vorst,Belgium,Brussels-Capital,50.811795,4.3181187,Europe/Brussels,true,189
Camagüey,Cuba,Camagüey,21.3791765,-77.9183681,America/Havana,true,190
Banes,Cuba,Holguín,20.9617915,-75.722894,America/Havana,true,191
Port Moresby,Papua New Guinea,National Capital District,-9.4743301,147.1599504,Pacific/Port_Moresby,true,192
Bridgetown,Barbados,Saint Michael,13.0977832,-59.6184184,America/Barbados,true,193
Koror,,,7.343275,134.4766767,Pacific/Palau,false
Landsmeer,Netherlands,North Holland,52.4296098,4.9136088,Europe/Amsterdam,true,194
San Bartolomé,Spain,Canary Islands,29.0017041,-13.6139122,Atlantic/Canary,true,195
Ghent,Belgium,East Flanders,51.0538286,3.7250121,Europe/Brussels,true,196
Maliaño,Spain,Cantabria,43.41845,-3.83623,Europe/Madrid,true,197
Uccle - Ukkel,Belgium,Brussels-Capital,50.8035441,4.3338445,Europe/Brussels,true,198
City of Hamilton,Bermuda,HM 11,32.2942679,-64.7853167,Atlantic/Bermuda,true,199
Borsbeek,Belgium,Antwerp,51.1928907,4.488953,Europe/Brussels,true,200
Rotterdam,Netherlands,South Holland,51.9244424,4.47775,Europe/Amsterdam,true,201
Almuñécar,Spain,Andalusia,36.7328699,-3.68968,Europe/Madrid,true,202
Valencia,Spain,Valencian Community,39.4697065,-0.3763353,Europe/Madrid,true,203
,Canada,British Columbia,55.001251,-125.002441,America/Vancouver,false
Colindres,Spain,Cantabria,43.3949637,-3.449786,Europe/Madrid,true,204
Chania,Greece,Region of Crete,35.5120831,24.0191544,Europe/Athens,true,205
Útila,Honduras,Bay Islands,16.0965571,-86.94340193880814,America/Tegucigalpa,true,206
Kaş,Turkey,Mediterranean Region,36.1993752,29.6413365,Europe/Istanbul,true,207
Shanghai,China,Shanghai,31.2323437,121.4691024,Asia/Shanghai,true,208
Formentera,Spain,Balearic Islands,38.7063909,1.4335265588311943,Europe/Madrid,true,209
Andong-si,South Korea,36689,36.5634886,128.7260798,Asia/Seoul,true,210
Pécs,Hungary,Southern Transdanubia,46.0765092,18.2280317,Europe/Budapest,true,211
Kg. Pasir Hantu,Malaysia,Terengganu,5.896921,102.7287089,Asia/Kuala_Lumpur,true,212
Placencia,Belize,Stann Creek District,16.5156113,-88.3671785,America/Belize,true,213
Turin,Italy,Piedmont,45.0677551,7.6824892,Europe/Rome,true,214
Tempate,Costa Rica,Cantón Santa Cruz,10.4145696,-85.7198166,America/Costa_Rica,true,215
Vigo,Spain,Galicia,42.1964491,-8.7117809,Europe/Madrid,true,216
Mataró,Spain,Catalonia,41.5398348,2.4448926,Europe/Madrid,true,217
Simpson Bay,,,18.0339338,-63.10424365597148,America/Lower_Princes,false
Žilina,Slovakia,Region of Žilina,49.2234674,18.7393139,Europe/Bratislava,true,218
,Curacao,0000 NA,12.1121321,-68.9408894,America/Curacao,false
Kalocsa,Hungary,South Great Plain,46.5230265,18.9825043,Europe/Budapest,true,219
Tioman,Malaysia,Pahang,2.806509,104.17213290217393,Asia/Kuala_Lumpur,true,220
Asomatos,Greece,Region of Crete,35.1914814,24.4532072,Europe/Athens,true,221
Los Cristianos,Spain,Canary Islands,28.0526298,-16.717,Atlantic/Canary,true,222
O Grove,Spain,Galicia,42.4703897,-8.8875866,Europe/Madrid,true,223
Palmanova,Spain,Balearic Islands,39.5237047,2.5383777,Europe/Madrid,true,224
Municipal Unit of Levidi,Greece,"Peloponnese, Western Greece and the Ionian",37.72567225,22.30364461478444,Europe/Athens,true,225
Subang Jaya,Malaysia,Selangor,3.051487,101.5823339,Asia/Kuala_Lumpur,true,226
Semporna,Malaysia,Sabah,4.4790651,118.6118806,Asia/Kuching,true,227
Piraeus,Greece,Attica,37.9431594,23.6470593,Europe/Athens,true,228
Linosa,Italy,Sicily,35.85944,12.8632659,Europe/Rome,true,229
Guayaquil,Ecuador,Guayas,-2.1900563,-79.8868741,America/Guayaquil,true,230
,Malaysia,Sabah,5.4257359,117.0326392,Asia/Kuching,false
Paquera,Costa Rica,Cantón Puntarenas,9.819041,-84.9321826,America/Costa_Rica,true,231
Bruges,Belgium,West Flanders,51.2085526,3.226772,Europe/Brussels,true,232
San Giorgio,Italy,Sicily,38.0654684,14.8221874,Europe/Rome,true,233
Vrsar,Croatia,Istria County,45.1490782,13.6063472,Europe/Zagreb,true,234
Urús,Spain,Catalonia,42.3520412,1.8534065,Europe/Madrid,true,235
Schoorl,Netherlands,North Holland,52.7008899,4.6939819,Europe/Amsterdam,true,236
Split,Croatia,Grad Split,43.5116383,16.4399659,Europe/Zagreb,true,237
Gold Coast City,Australia,Queensland,-28.0023731,153.4145987,Australia/Brisbane,true,238
Bouar,Lebanon,Keserwan-Jbeil Governorate,34.04581735,35.64220298021899,Asia/Beirut,true,239
Sandown,United Kingdom,England,50.6530593,-1.1536287,Europe/London,true,240
Santa Eulària des Riu,Spain,Balearic Islands,38.9846117,1.534421,Europe/Madrid,true,241
Sorgues,France,Provence-Alpes-Côte d'Azur,44.0066403,4.8725016,Europe/Paris,true,242
Limassol,Cyprus,Cyprus,34.6852901,33.0332657,Asia/Nicosia,true,243
Mali Lošinj,Croatia,Primorje-Gorski Kotar County,44.5316056,14.4694111,Europe/Zagreb,true,244
Le Grau-du-Roi,France,Occitania,43.5360061,4.1371755,Europe/Paris,true,245
Boulogne Sur Mer,Argentina,Buenos Aires,-34.4990238,-58.5751106,America/Argentina/Buenos_Aires,true,246
Giglio Porto,Italy,Tuscany,42.3571574,10.9224837,Europe/Rome,true,247
Devonport,Australia,Tasmania,-41.1797561,146.3613011,Australia/Hobart,true,248
San Sebastián,Spain,Autonomous Community of the Basque Country,43.3224219,-1.9838889,Europe/Madrid,true,249
Bacoli,Italy,Campania,40.7966129,14.0777834,Europe/Rome,true,250
Naxos,Greece,Aegean,37.06001045,25.47075670857837,Europe/Athens,true,251
Kassopaia Municipal Unit,Greece,"Peloponnese, Western Greece and the Ionian",39.75932385,19.913642538355628,Europe/Athens,true,252
San Nicolò,Italy,Calabria,38.6334032,15.850505,Europe/Rome,true,253
Borotice,Czechia,Central Bohemia,49.7349674,14.2797023,Europe/Prague,true,254
Soorts-Hossegor,France,Nouvelle-Aquitaine,43.6584045,-1.4262382,Europe/Paris,true,255
Randburg,South Africa,Gauteng,-26.096111,27.975,Africa/Johannesburg,true,256
Arcachon,France,Nouvelle-Aquitaine,44.6616428,-1.1700018,Europe/Paris,true,257
Boulogne-Billancourt,France,Ile-de-France,48.8356649,2.240206,Europe/Paris,true,258
Yaiza,Spain,Canary Islands,28.9528697,-13.7642134,Atlantic/Canary,true,259
Pattaya,Thailand,Chon Buri Province,12.9366924,100.8865002,Asia/Bangkok,true,260
Mbombela,South Africa,Mpumalanga,-25.481944,30.984722,Africa/Johannesburg,true,261
Durban,South Africa,KwaZulu-Natal,-29.861825,31.009909,Africa/Johannesburg,true,262
Livorno,Italy,Tuscany,42.790216599999994,10.340278678735025,Europe/Rome,true,263
Punat,Croatia,Primorje-Gorski Kotar County,45.0195884,14.631247,Europe/Zagreb,true,264
Saint-Malo,France,Brittany,48.649518,-2.0260409,Europe/Paris,true,265
Kapelle-op-den-Bos,Belgium,Flemish Brabant,51.01237055,4.358044605446565,Europe/Brussels,true,266
Hong Kong Island,China,Hong Kong,22.2793278,114.1628131,Asia/Hong_Kong,true,267
Windhoek,Namibia,Khomas,-22.5776104,17.0772739,Africa/Windhoek,true,268
Falmouth,United Kingdom,England,50.1552197,-5.0688262,Europe/London,true,269
Pretoria,South Africa,Gauteng,-25.7459277,28.1879101,Africa/Johannesburg,true,270
Enfeh,Lebanon,North Governorate,34.351182449999996,35.738585703071934,Asia/Beirut,true,271
Negara,Indonesia,Bali,-8.3585536,114.6218756,Asia/Makassar,true,272
Port Saint Mary,Isle of Man,Rushen,54.077268,-4.7391371,Europe/Isle_of_Man,true,273
Ossenisse,Netherlands,Zeeland,51.3883662,3.9778566,Europe/Amsterdam,true,274
Puerto Galera,Philippines,Oriental Mindoro,13.5017104,120.9543353,Asia/Manila,true,275
Roses,Spain,Catalonia,42.2632018,3.1755328,Europe/Madrid,true,276
Bel Ombre,,,-4.6193716,55.4112979,Indian/Mahe,false
,United Kingdom,Wales,52.2928116,-3.73893,Europe/London,false
Batroun,Lebanon,North Governorate,34.2548879,35.6588567,Asia/Beirut,true,277
Trenčín,Slovakia,Region of Trenčín,48.8922719,18.0387465,Europe/Bratislava,true,278
Lorient,France,Brittany,47.7477336,-3.3660907,Europe/Paris,true,279
Gradignan,France,Nouvelle-Aquitaine,44.7739701,-0.613907,Europe/Paris,true,280
Aamchit,Lebanon,Keserwan-Jbeil Governorate,34.14799975,35.64273876363749,Asia/Beirut,true,281
Langueux,France,Brittany,48.4991,-2.70959,Europe/Paris,true,282
Strand,South Africa,Western Cape,-34.10556,18.830564,Africa/Johannesburg,true,283
Johannesburg,South Africa,Gauteng,-26.205,28.049722,Africa/Johannesburg,true,284
Porto Cesareo,Italy,Apulia,40.262824,17.898418,Europe/Rome,true,285
Pont Lorois,France,Brittany,47.675628,-3.1963723,Europe/Paris,true,286
Genzano di Roma,Italy,Lazio,41.706989,12.6911183,Europe/Rome,true,287
Cascina,Italy,Tuscany,43.6766738,10.5492244,Europe/Rome,true,288
Les Anses-d'Arlet,France,Martinique,14.4913595,-61.0787615,America/Martinique,true,289
Wissous,France,Ile-de-France,48.7316381,2.3268669,Europe/Paris,true,290
Senago,Italy,Lombardy,45.5761376,9.1244464,Europe/Rome,true,291
Cernusco Lombardone,Italy,Lombardy,45.69286,9.4006975,Europe/Rome,true,292
Forlì,Italy,Emilia-Romagna,44.2227278,12.041273,Europe/Rome,true,293
Casa Santa,Italy,Sicily,38.019841,12.5494005,Europe/Rome,true,294
Lancaster,United Kingdom,England,54.0484068,-2.7990345,Europe/London,true,295
