ID,city,region,country,country_code,latitude,longitude
90,Rapallo,Liguria,Italy,it,44.3511473,9.229671
91,San Vito Lo Capo,Sicily,Italy,it,38.172347,12.734932
92,Lampedusa,Sicily,Italy,it,35.511134150000004,12.59629135962961
93,San Nicola,Apulia,Italy,it,42.120845,15.5043104
94,Imperia,Liguria,Italy,it,43.95837525,7.866742714674276
95,Cavo,Tuscany,Italy,it,42.8618513,10.419662
96,Capoliveri,Tuscany,Italy,it,42.7434524,10.3787797
97,Portoferraio,Tuscany,Italy,it,42.8136276,10.319152
98,Santu Antiogu/Sant'Antioco,Sardinia,Italy,it,39.0648291,8.4562962
99,Nardò,Apulia,Italy,it,40.1762608,18.0306371
100,Pazzano,Calabria,Italy,it,38.4757633,16.4525008
101,Lipari,Sicily,Italy,it,38.4681846,14.9547202
102,Santa Margherita Ligure,Liguria,Italy,it,44.3339761,9.2111267
103,Fiumaretta,Liguria,Italy,it,44.0527019,9.9873019
104,Palermo,Sicily,Italy,it,38.1112268,13.3524434
105,Albenga,Liguria,Italy,it,44.0492503,8.2131239
106,Ustica,Sicily,Italy,it,38.7104559,13.1912999
107,Porto Azzurro,Tuscany,Italy,it,42.7662978,10.3957529
108,La Pila,Tuscany,Italy,it,42.7633493,10.2335159
109,Como,Lombardy,Italy,it,45.939475900000005,9.149410145408947
110,Ponza,Lazio,Italy,it,40.8932368,12.9630622
111,Trapani,Sicily,Italy,it,38.0174321,12.515992
112,Lu Palau/Palau,Sardinia,Italy,it,41.1810758,9.3820424
113,Bonassola,Liguria,Italy,it,44.1835463,9.5825259
114,Genoa,Liguria,Italy,it,44.40726,8.9338624
115,Ventotene,Lazio,Italy,it,40.796002,13.431213
116,Capraia Isola,Tuscany,Italy,it,43.0481801,9.8434014
117,Trento,Trentino-Alto Adige/Südtirol,Italy,it,46.0664228,11.1257601
118,Karystos,Thessaly and Central Greece,Greece,gr,38.0155328,24.4198624
119,St. Anargyros,Attica,Greece,gr,38.050819700000005,23.803608168762548
120,Dubrovnik,,Croatia,hr,42.64873625,18.094680152605108
121,Medulin,,Croatia,hr,44.821786,13.9367142
122,Okrug Gornji,,Croatia,hr,43.4937484,16.2644151
123,Vilnius,Vilnius County,Lithuania,lt,54.6870458,25.2829111
124,Maribor,,Slovenia,si,46.5576439,15.6455854
125,Kranj,,Slovenia,si,46.2432913,14.3549353
126,Ljubljana,,Slovenia,si,46.0500268,14.5069289
127,Nova Gorica,,Slovenia,si,45.9580549,13.6474706
128,Bratislava,Region of Bratislava,Slovakia,sk,48.1516988,17.1093063
129,Brovary,Kyiv Oblast,Ukraine,ua,50.5111168,30.7900482
130,Lefkoşa,,Northern Cyprus,cy,35.21165235,33.3311877599984
131,,Attica,Greece,gr,37.9946543,23.79940251269328
132,Tel Aviv-Yafo,Tel Aviv District,Israel,il,32.0852997,34.7818064
133,Abu Dhabi,Abu Dhabi Emirate,United Arab Emirates,ae,24.4538352,54.3774014
134,Fujairah,Fujairah Emirate,United Arab Emirates,ae,25.1244604,56.3355085
135,Sharjah,Sharjah Emirate,United Arab Emirates,ae,25.3461498,55.4210633
136,Varna,,Bulgaria,bg,43.2073873,27.9166653
137,,Malé Atoll,Maldives,mv,4.3542989500000004,73.57600320784947
138,Hurghada,Red Sea,Egypt,eg,27.222556,33.8307062
139,Athens,Attica,Greece,gr,37.9755648,23.7348324
140,Stavros,Region of Crete,Greece,gr,35.063336,25.7509481
141,Municipality of Kalamata,"Peloponnese, Western Greece and the Ionian",Greece,gr,37.0372714,22.110707
142,Γιάλτρα,Thessaly and Central Greece,Greece,gr,38.8641983,22.9759652
143,Rafina Municipal Unit,Attica,Greece,gr,38.01985355,23.984601333446626
144,Pallini Municipal Unit,Macedonia and Thrace,Greece,gr,39.96941725,23.59897092842187
145,Thessaloniki,Macedonia and Thrace,Greece,gr,40.6403167,22.9352716
146,Eilat,South District,Israel,il,29.5569348,34.9497949
147,Nahariya,North District,Israel,il,33.006306,35.0945579
148,Mussaitbeh,Beirut Governorate,Lebanon,lb,33.88531465,35.496317418451824
149,Tabarja,Keserwan-Jbeil Governorate,Lebanon,lb,34.0299714,35.635528961630186
150,Gżira,Central Region,Malta,mt,35.9077803,14.4961247
151,Mellieha,Northern Region,Malta,mt,35.9599618,14.368367
152,Victoria,Gozo Region,Malta,mt,36.0428907,14.2398479
153,Sliema,Central Region,Malta,mt,35.9127609,14.5020708
154,Xlendi,Gozo Region,Malta,mt,36.0311977,14.2182656
155,Barka,Al Batinah South Governorate,Oman,om,23.6676462,57.8836158
156,Muscat,Muscat Governorate,Oman,om,23.61515,58.5912467
157,Doha,,Qatar,qa,25.2856329,51.5264162
158,Almaty,,Kazakhstan,kz,43.2363924,76.9457275
159,Campinas,São Paulo,Brazil,br,-22.9056391,-47.059564
160,Belo Horizonte,Minas Gerais,Brazil,br,-19.9227318,-43.9450948
161,Curitiba,Paraná,Brazil,br,-25.4295963,-49.2712724
162,Rio de Janeiro,Rio de Janeiro,Brazil,br,-22.9110137,-43.2093727
163,Paphos Municipality,Cyprus,Cyprus,cy,34.7743988,32.4231586
164,Municipality of Patras,"Peloponnese, Western Greece and the Ionian",Greece,gr,38.246242,21.7350847
165,Νέο Ρύσιο,Macedonia and Thrace,Greece,gr,40.4957584,22.9885808
166,Buenos Aires,Autonomous City of Buenos Aires,Argentina,ar,-34.6037157,-58.381642
167,Dramalj,,Croatia,hr,45.190455,14.6731968
168,Haret Sakhr,Keserwan-Jbeil Governorate,Lebanon,lb,33.990693699999994,35.6431084543194
169,Tripoli,Tripoli,Libya,ly,32.896672,13.1777923
170,Msida,Central Region,Malta,mt,35.8956943,14.4891829
171,Deira,Dubai,United Arab Emirates,ae,25.2727936,55.305334
172,,South Sinai,Egypt,eg,28.64495635,33.87113129565117
173,Gamsha,Red Sea,Egypt,eg,27.375534899999998,33.65334115703007
174,Marsa Alam City,Red Sea,Egypt,eg,25.069992,34.893817
175,Taba,South Sinai,Egypt,eg,29.492821,34.892366
176,Sharm Ash Sheikh,South Sinai,Egypt,eg,27.8644422,34.295447
177,Palaio Faliro,Attica,Greece,gr,37.9282756,23.6951675
178,Bitola,Pelagonia Region,North Macedonia,mk,41.0316005,21.3302511
179,Kallithea,Attica,Greece,gr,37.9560111,23.7033792
180,Sellia,Region of Crete,Greece,gr,35.2051137,24.3809512
181,Municipal Unit of Anaktorio,"Peloponnese, Western Greece and the Ionian",Greece,gr,38.882208399999996,20.913312123258056
182,Drama,Macedonia and Thrace,Greece,gr,41.1499443,24.1468286
183,Umag,,Croatia,hr,45.4323587,13.5224098
184,Vela Luka,,Croatia,hr,42.9609767,16.7180177
185,Crikvenica,,Croatia,hr,45.1737049,14.6927906
186,Grad Rovinj,,Croatia,hr,45.0807411,13.6417282
187,Mlini,,Croatia,hr,42.6236872,18.2082717
188,Mošćenička Draga,,Croatia,hr,45.2388503,14.2530932
189,Town of Rab,,Croatia,hr,44.7562894,14.7607367
190,Mombasa,Mombasa County,Kenya,ke,-4.05052,39.667169
191,Shella ward,Kilifi County,Kenya,ke,-3.25009125,40.118502419491165
192,Saint Paul's Bay,Northern Region,Malta,mt,35.9480742,14.3973929
193,Sayh Al Diyar,,Oman,om,25.6077354,56.2608449
194,,Gauteng,South Africa,za,-25.9363439,28.0813105
195,Kendal,England,United Kingdom,gb,54.3289795,-2.747183
196,Roatán,Bay Islands,Honduras,hn,16.3167373,-86.5374787
197,Pattaya City,Chon Buri Province,Thailand,th,12.9366924,100.8865002
198,Ko Samui,Surat Thani Province,Thailand,th,9.5071545,99.9957562
199,Ko Tao,Surat Thani Province,Thailand,th,10.0921822,99.83953617562148
200,Bangkok,Bangkok,Thailand,th,13.7524938,100.4935089
201,Si Sunthon,Phuket Province,Thailand,th,7.9922368,98.3537721
202,,Phuket Province,Thailand,th,7.9366015,98.3529292
203,Takua Pa,Phang-nga Province,Thailand,th,8.8689862,98.3435619
204,Sihanoukville,Khaet Preah Sihanouk,Cambodia,kh,10.6220485,103.5223365
205,,Krabi Province,Thailand,th,8.1111653,99.1097298
206,Baan Chaloklum,Surat Thani Province,Thailand,th,9.7852863,100.0069751
207,Haad Sai Khao,Trat Province,Thailand,th,12.1052401,102.2728264
208,Chalong,Phuket Province,Thailand,th,7.8465199,98.3344152
209,,Chon Buri Province,Thailand,th,13.1857117,101.1210777
210,Baan Klong Prao,Trat Province,Thailand,th,12.0524613,102.2956161
211,,Bangkok,Thailand,th,13.8245796,100.6224463
212,Rumst,Antwerp,Belgium,be,51.0792853,4.4240472
213,Strömma,,Sweden,se,59.2877529,18.5460128
214,Taipei,,Taiwan,tw,25.0375198,121.5636796
215,Valencia,Valencian Community,Spain,es,39.4697065,-0.3763353
216,Alicante,Valencian Community,Spain,es,38.3436365,-0.4881708
217,Koror,,Palau,pw,7.343275,134.4766767
218,George Town,,Cayman Islands,ky,19.2953549,-81.3807776
219,City of Hamilton,,Bermuda,bm,32.2942679,-64.7853167
220,Torroella de Montgrí,Catalonia,Spain,es,42.04803885,3.167012798007952
221,Kolonia,Pohnpei,Federated States of Micronesia,fm,6.9643412,158.2091324
222,Cadaqués,Catalonia,Spain,es,41.4001429,2.1573113
223,Reckange-sur-Mess,,Luxembourg,lu,49.5611874,6.0093091
224,Santa Ponsa,Balearic Islands,Spain,es,39.5148159,2.4819598
225,Teguise,,Spain,es,29.0592518,-13.5602184
226,Arnhem,Gelderland,Netherlands,nl,52.0056642,5.8762345077641305
227,Venlo,Limburg,Netherlands,nl,51.39244885,6.1511724144122955
228,Oud-Vossemeer,Zeeland,Netherlands,nl,51.5701636,4.1988617
229,Eindhoven,North Brabant,Netherlands,nl,51.44855695,5.450122521857143
230,'s-Hertogenbosch,North Brabant,Netherlands,nl,51.6889387,5.303116
231,Beverwijk,North Holland,Netherlands,nl,52.4876371,4.6603502
232,Vinkeveen,Utrecht,Netherlands,nl,52.2153192,4.9348062
233,Valkenburg,South Holland,Netherlands,nl,52.1809225,4.4285918
234,Rotterdam,South Holland,Netherlands,nl,51.9244424,4.47775
235,The Hague,South Holland,Netherlands,nl,52.0799838,4.3113461
236,Reeuwijk,South Holland,Netherlands,nl,52.0449873,4.7224789
237,Zoetermeer,South Holland,Netherlands,nl,52.06228915,4.487754536970652
238,Basècles,Hainaut,Belgium,be,50.5254379,3.6483501
239,Ghent,East Flanders,Belgium,be,51.0538286,3.7250121
240,Wavre,Walloon Brabant,Belgium,be,50.7169694,4.610416
241,Mechelen,Antwerp,Belgium,be,51.0281381,4.4803453
242,Boom,Antwerp,Belgium,be,51.0873789,4.3667216
243,Forest - Vorst,,Belgium,be,50.811795,4.3181187
244,Braine-l'Alleud,Walloon Brabant,Belgium,be,50.6828722,4.3692706
245,Vosselaar,Antwerp,Belgium,be,51.3129153,4.8878026
246,Namur,Namur,Belgium,be,50.4665284,4.8661892
247,Koksijde,West Flanders,Belgium,be,51.109228200000004,2.6352872443548363
248,Liège,Liège,Belgium,be,50.6450944,5.5736112
249,Uccle - Ukkel,,Belgium,be,50.8035441,4.3338445
250,Heist-op-den-Berg,Antwerp,Belgium,be,51.06251575,4.71943107216415
251,Berlare,East Flanders,Belgium,be,51.0301606,4.011347029715423
252,Winterslag,Limburg,Belgium,be,50.9771632,5.4858516
253,Batumi,Autonomous Republic of Adjara,Georgia,ge,41.6241427,41.6249897328339
254,Maliaño,Cantabria,Spain,es,43.41845,-3.83623
255,Almuñécar,Andalusia,Spain,es,36.7328699,-3.68968
256,Sandino,Pinar del Rio,Cuba,cu,22.0798073,-84.2035316
257,,Pinar del Rio,Cuba,cu,22.312446950000002,-83.93893860318403
258,Cárdenas,Matanzas,Cuba,cu,23.03714,-81.2025816
259,Camagüey,Camagüey,Cuba,cu,21.3791765,-77.9183681
260,Banes,Holguín,Cuba,cu,20.9617915,-75.722894
261,Port Moresby,National Capital District,Papua New Guinea,pg,-9.4743301,147.1599504
262,Nadi,Western,Fiji,fj,-17.7992725,177.4178549
263,Yavulo,Western,Fiji,fj,-18.1442635,177.5068779
264,Nha Trang City,Khánh Hòa Province,Vietnam,vn,12.2431693,109.1898675
265,Hacienda Ciruelas,,Costa Rica,cr,10.5061425,-85.34586937147208
266,Landsmeer,North Holland,Netherlands,nl,52.4296098,4.9136088
267,Haarlem,North Holland,Netherlands,nl,52.383705750000004,4.643559696559635
268,Enschede,Overijssel,Netherlands,nl,52.22336325,6.870595664097989
269,Barcelona,Catalonia,Spain,es,41.3828939,2.1774322
270,Celrà,Catalonia,Spain,es,42.0199056,2.8818723523751792
271,Agüimes,,Spain,es,27.9049541,-15.4445131
272,San Bartolomé,,Spain,es,29.0017041,-13.6139122
273,Las Palmas de Gran Canaria,,Spain,es,28.1288694,-15.4349015
274,Almere,Flevoland,Netherlands,nl,52.44175125,5.2092943104327585
275,Zaandam,North Holland,Netherlands,nl,52.4424926,4.8298607
276,Borsbeek,Antwerp,Belgium,be,51.1928907,4.488953
277,Oosterhout,North Brabant,Netherlands,nl,51.632237599999996,4.863042417836681
278,Alcorcón,Community of Madrid,Spain,es,40.3492998,-3.8284295
279,Bridgetown,,Barbados,bb,13.0977832,-59.6184184
280,Aalst,East Flanders,Belgium,be,50.9383226,4.0392147
281,San Sebastián de la Gomera,,Spain,es,28.0910382,-17.1110077
282,Útila,Bay Islands,Honduras,hn,16.0965571,-86.94340193880814
283,Colindres,Cantabria,Spain,es,43.3949637,-3.449786
284,O Grove,Galicia,Spain,es,42.4703897,-8.8875866
285,Le Grau-du-Roi,Occitania,France,fr,43.5360061,4.1371755
286,,,Curacao,nl,12.1176488,-68.9309263
287,Gold Coast City,Queensland,Australia,au,-28.0023731,153.4145987
288,Schoten,Antwerp,Belgium,be,51.2516344,4.4980446
289,Placencia,Stann Creek District,Belize,bz,16.5156113,-88.3671785
290,San Nicolò,Calabria,Italy,it,38.6334032,15.850505
291,Žilina,Region of Žilina,Slovakia,sk,49.2234674,18.7393139
292,Sandown,England,United Kingdom,gb,50.6530593,-1.1536287
293,Subang Jaya,Selangor,Malaysia,my,3.051487,101.5823339
294,,Sabah,Malaysia,my,5.4257359,117.0326392
295,Semporna,Sabah,Malaysia,my,4.4790651,118.6118806
296,Kg. Pasir Hantu,Terengganu,Malaysia,my,5.896921,102.7287089
297,Andong-si,,South Korea,kr,36.5634886,128.7260798
298,Linosa,Sicily,Italy,it,35.85944,12.8632659
299,Giglio Porto,Tuscany,Italy,it,42.3571574,10.9224837
300,Níjar,Andalusia,Spain,es,36.962894,-2.2063758
301,Fornells,Balearic Islands,Spain,es,40.0547634,4.1297216
302,Paquera,,Costa Rica,cr,9.819041,-84.9321826
303,Tempate,,Costa Rica,cr,10.4145696,-85.7198166
304,Limassol,Cyprus,Cyprus,cy,34.6852901,33.0332657
305,Larnaca,Cyprus,Cyprus,cy,34.9236095,33.6236184
306,Asomatos,Region of Crete,Greece,gr,35.1914814,24.4532072
307,Chania,Region of Crete,Greece,gr,35.5120831,24.0191544
308,Kassopaia Municipal Unit,"Peloponnese, Western Greece and the Ionian",Greece,gr,39.75932385,19.913642538355628
309,Piraeus,Attica,Greece,gr,37.9431594,23.6470593
310,Naxos,Aegean,Greece,gr,37.06001045,25.47075670857837
311,Municipal Unit of Levidi,"Peloponnese, Western Greece and the Ionian",Greece,gr,37.72567225,22.30364461478444
312,Palmanova,Balearic Islands,Spain,es,39.5237047,2.5383777
313,Santa Eulària des Riu,Balearic Islands,Spain,es,38.9846117,1.534421
314,Ibiza,Balearic Islands,Spain,es,38.974390099999994,1.4197463178515335
315,Port de Pollença,Balearic Islands,Spain,es,39.908013,3.0827842
316,Los Cristianos,,Spain,es,28.0526298,-16.717
317,Pamplona,,Spain,es,42.8181992,-1.6440089
318,Guayaquil,Guayas,Ecuador,ec,-2.1900563,-79.8868741
319,San Sebastián,Autonomous Community of the Basque Country,Spain,es,43.3224219,-1.9838889
320,Vigo,Galicia,Spain,es,42.1964491,-8.7117809
321,Bruges,West Flanders,Belgium,be,51.2085526,3.226772
322,Simpson Bay,,Sint Maarten,nl,18.0339338,-63.10424365597148
323,Shanghai,Shanghai,China,cn,31.2323437,121.4691024
324,Klang Municipal Council,Selangor,Malaysia,my,3.0448394,101.4447363
325,Tioman,Pahang,Malaysia,my,2.806509,104.17213290217393
326,Turin,Piedmont,Italy,it,45.0677551,7.6824892
327,Schoorl,North Holland,Netherlands,nl,52.7008899,4.6939819
328,Budapest,,Hungary,hu,47.48138955,19.14609412691246
329,Pécs,,Hungary,hu,46.0765092,18.2280317
330,Kalocsa,,Hungary,hu,46.5230265,18.9825043
331,Utrecht,Utrecht,Netherlands,nl,52.0907006,5.1215634
332,Bouar,Keserwan-Jbeil Governorate,Lebanon,lb,34.04581735,35.64220298021899
333,Vrsar,,Croatia,hr,45.1490782,13.6063472
334,San Giorgio,Sicily,Italy,it,37.640351,14.4685021
335,Sorgues,Provence-Alpes-Côte d'Azur,France,fr,44.0066403,4.8725016
336,,Zanzibar Urban/West,Tanzania,tz,-6.1653854,39.2386951
337,Bacoli,Campania,Italy,it,40.7966129,14.0777834
338,Formentera,Balearic Islands,Spain,es,38.7063909,1.4335265588311943
339,Sant Josep de sa Talaia,Balearic Islands,Spain,es,38.9043608,1.3178098
340,Urús,Catalonia,Spain,es,42.3520412,1.8534065
341,Municipio de Puerto Madryn,Chubut Province,Argentina,ar,-42.7729674,-65.0366104
342,Boulogne Sur Mer,Buenos Aires,Argentina,ar,-34.4990238,-58.5751106
343,Kaş,,Turkey,tr,36.1993752,29.6413365
344,Devonport,Tasmania,Australia,au,-41.1797561,146.3613011
345,Mataró,Catalonia,Spain,es,41.5398348,2.4448926
346,Mali Lošinj,,Croatia,hr,44.5316056,14.4694111
347,Split,,Croatia,hr,43.5116383,16.4399659
348,City of Zagreb,,Croatia,hr,45.8130967,15.9772795
349,Riga,Vidzeme,Latvia,lv,56.9493977,24.1051846
350,Tallinn,,Estonia,ee,59.4372155,24.7453688
351,Roodepoort,Gauteng,South Africa,za,-26.1563889,27.8858333
352,Randburg,Gauteng,South Africa,za,-26.096111,27.975
353,Pretoria,Gauteng,South Africa,za,-25.7459277,28.1879101
354,Mbombela,Mpumalanga,South Africa,za,-25.481944,30.984722
355,Strand,Western Cape,South Africa,za,-34.10556,18.830564
356,Durban,KwaZulu-Natal,South Africa,za,-29.861825,31.009909
357,Windhoek,Khomas,Namibia,na,-22.5776104,17.0772739
358,Punat,,Croatia,hr,45.0195884,14.631247
359,Arcachon,Nouvelle-Aquitaine,France,fr,44.6616428,-1.1700018
360,Soorts-Hossegor,Nouvelle-Aquitaine,France,fr,43.6584045,-1.4262382
361,Les Anses-d'Arlet,Martinique,France,fr,14.4913595,-61.0787615
362,Bel Ombre,,Seychelles,sc,-4.6193716,55.4112979
363,Kapelle-op-den-Bos,Flemish Brabant,Belgium,be,51.01237055,4.358044605446565
364,Prague,Prague,Czechia,cz,50.0596288,14.446459273258009
365,Roses,Catalonia,Spain,es,41.351448899999994,2.140427974490881
366,Piran / Pirano,,Slovenia,si,45.5284919,13.5684485
367,Aamchit,Keserwan-Jbeil Governorate,Lebanon,lb,34.14799975,35.64273876363749
368,Batroun,North Governorate,Lebanon,lb,34.2548879,35.6588567
369,Enfeh,North Governorate,Lebanon,lb,34.351182449999996,35.738585703071934
370,Negara,Bali,Indonesia,id,-8.3585536,114.6218756
371,Johannesburg,Gauteng,South Africa,za,-26.205,28.049722
372,Ossenisse,Zeeland,Netherlands,nl,51.3883662,3.9778566
373,Lapu-Lapu,,Philippines,ph,10.3126722,123.9488177
374,Cebu City,,Philippines,ph,10.2931062,123.9020773
375,Puerto Princesa,,Philippines,ph,9.7376025,118.7350414
376,Dumaguete,Negros Oriental,Philippines,ph,9.3054777,123.3080446
377,Puerto Galera,Oriental Mindoro,Philippines,ph,13.5017104,120.9543353
378,Makati,,Philippines,ph,14.5567949,121.0211226
379,Manila,,Philippines,ph,14.5906346,120.9799964
380,Panglao,Bohol,Philippines,ph,9.5791851,123.7452642
381,Yaiza,,Spain,es,28.9528697,-13.7642134
382,Malay,Aklan,Philippines,ph,11.9000941,121.9099
383,Madrid,Community of Madrid,Spain,es,40.4167047,-3.7035825
384,Berriozar,,Spain,es,42.83565,-1.6745719
385,Six Huts,Bay Islands,Honduras,hn,16.3867069,-86.4195395
386,Trenčín,Region of Trenčín,Slovakia,sk,48.8922719,18.0387465
387,Hong Kong Island,Hong Kong,China,cn,22.2793278,114.1628131
388,Boulogne-Billancourt,Ile-de-France,France,fr,48.8356649,2.240206
389,Wissous,Ile-de-France,France,fr,48.7316381,2.3268669
390,Gradignan,Nouvelle-Aquitaine,France,fr,44.7739701,-0.613907
391,Langueux,Brittany,France,fr,48.4991,-2.70959
392,Lorient,Brittany,France,fr,47.7477336,-3.3660907
393,Saint-Malo,Brittany,France,fr,48.649518,-2.0260409
394,Pont Lorois,Brittany,France,fr,47.675628,-3.1963723
395,Livorno,Tuscany,Italy,it,42.790216599999994,10.340278678735025
396,Genzano di Roma,Lazio,Italy,it,41.706989,12.6911183
397,Cascina,Tuscany,Italy,it,43.6766738,10.5492244
398,Bisceglie,Apulia,Italy,it,41.2402745,16.5010109
399,Casa Santa,Sicily,Italy,it,38.019841,12.5494005
400,Senago,Lombardy,Italy,it,45.5761376,9.1244464
401,Sassuolo,Emilia-Romagna,Italy,it,44.5409769,10.7829023
402,Forlì,Emilia-Romagna,Italy,it,44.2227278,12.041273
403,Cernusco Lombardone,Lombardy,Italy,it,45.69286,9.4006975
