ID,name,longitude,latitude,address,region,country
184,16.7180177,42.9609767,Vela Luka,Dubrovnik-Neretva County,Croatia
185,14.6927906,45.1737049,Crikvenica,Primorje-Gorski Kotar County,Croatia
186,13.6417282,45.0807411,Grad Rovinj,Istria County,Croatia
188,14.2530932,45.2388503,Mošćenička Draga,Primorje-Gorski Kotar County,Croatia
193,56.2608449,25.6077354,Sayh Al Diyar,Musandam Governorate,Oman
189,14.7607367,44.7562894,Town of Rab,Primorje-Gorski Kotar County,Croatia
213,18.5460128,59.2877529,Strömma,Stockholm County,Sweden
279,-59.6184184,13.0977832,Bridgetown,Saint Michael,Barbados
219,-64.7853167,32.2942679,City of Hamilton,HM 11,Bermuda
223,6.0093091,49.5611874,Reckange-sur-Mess,Canton Esch-sur-Alzette,Luxembourg
214,121.5636796,25.0375198,Taipei,110,Taiwan
218,-81.3807776,19.2953549,George Town,KY1-9000,Cayman Islands
243,4.3181187,50.811795,Forest - Vorst,Brussels-Capital,Belgium
271,-15.4445131,27.9049541,Agüimes,Canary Islands,Spain
249,4.3338445,50.8035441,Uccle - Ukkel,Brussels-Capital,Belgium
265,-85.34586937147208,10.5061425,Hacienda Ciruelas,Cantón Bagaces,Costa Rica
225,-13.5602184,29.0592518,Teguise,Canary Islands,Spain
272,-13.6139122,29.0017041,San Bartolomé,Canary Islands,Spain
217,134.4766767,7.343275,Koror,Unknown region,Palau
322,-63.10424365597148,18.0339338,Simpson Bay,Unknown region,Sint Maarten
297,128.7260798,36.5634886,Andong-si,36689,South Korea
302,-84.9321826,9.819041,Paquera,Cantón Puntarenas,Costa Rica
303,-85.7198166,10.4145696,Tempate,Cantón Santa Cruz,Costa Rica
317,-1.6440089,42.8181992,Pamplona,Iruñerria / Comarca de Pamplona,Spain
316,-16.717,28.0526298,Los Cristianos,Canary Islands,Spain
333,13.6063472,45.1490782,Vrsar,Istria County,Croatia
346,14.4694111,44.5316056,Mali Lošinj,Primorje-Gorski Kotar County,Croatia
286,-68.9309263,12.1176488,,0000 NA,Curacao
329,18.2280317,46.0765092,Pécs,Southern Transdanubia,Hungary
330,18.9825043,46.5230265,Kalocsa,South Great Plain,Hungary
347,16.4399659,43.5116383,Split,Grad Split,Croatia
343,29.6413365,36.1993752,Kaş,Mediterranean Region,Turkey
348,15.9772795,45.8130967,City of Zagreb,10000,Croatia
381,-13.7642134,28.9528697,Yaiza,Canary Islands,Spain
358,14.631247,45.0195884,Punat,Primorje-Gorski Kotar County,Croatia
384,-1.6745719,42.83565,Berriozar,Metropolialdea / Área Metropolitana,Spain
362,55.4112979,-4.6193716,Bel Ombre,Unknown region,Seychelles
378,121.0211226,14.5567949,Makati,Metro Manila,Philippines
406,-4.7391371,54.077268,Port Saint Mary,Rushen,Isle of Man
366,13.5684485,45.5284919,Piran / Pirano,Upravna enota Piran / Unità amministrativa Pirano,Slovenia
463,7.4276832,43.7323492,Monaco,98000,Monaco
440,15.2353257,44.1168594,Zadar,Zadar County,Croatia
437,13.9586273,44.828458,Ližnjan,Istria County,Croatia
438,15.7097105,45.8018625,Grad Samobor,Zagreb County,Croatia
450,15.4477635,43.9377147,Grad Biograd na Moru,Zadar County,Croatia
442,16.3646048,43.5561377,Grad Kaštela,21215,Croatia
443,16.6520192,43.2605186,Općina Bol,21420,Croatia
441,16.4418127,43.1723573,Grad Hvar,21450,Croatia
436,14.442208,45.3267976,Grad Rijeka,Primorje-Gorski Kotar County,Croatia
457,-18.001635643741167,27.68504425,El Pinar de El Hierro,Canary Islands,Spain
456,-17.841202563392855,28.5071431,Fuencaliente de la Palma,Canary Islands,Spain
439,13.8455311,44.8702281,Grad Pula,Istria County,Croatia
501,15.6415407,43.7987234,Tisno,Šibenik-Knin County,Croatia
503,15.4097223,43.9670815,Turanj,Zadar County,Croatia
512,-13.8104447,28.9199232,Las Breñas,Canary Islands,Spain
509,16.2272015,43.5179953,Seget Donji,Općina Seget,Croatia
506,71.46636599643543,51.115320749999995,Astana,Astana,Kazakhstan
5441,134.3321405,35.5759945,Iwami,Iwami County,Japan
1675,29.1153234,36.6221019,Fethiye,Aegean Region,Turkey
5442,136.1945582,35.833286,Minamiechizen,Chubu Region,Japan
592,149.0431454,-35.2274338,District of Belconnen,2615,Australia
593,149.1012676,-35.2975906,Canberra,District of Canberra Central,Australia
589,14.4464691,45.07959,Brzac,Primorje-Gorski Kotar County,Croatia
685,51.3896004,35.6892523,Tehran,بخش مرکزی شهرستان تهران,Iran
